voucher	or	lowor	upor	imod	pr_seed	mi_seed	log_or	log_lowor	log_upor
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524235	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524236	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524237	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524238	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123	524239	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524235	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524236	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524237	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524238	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234	524239	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524235	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524236	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524237	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524238	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	12345	524239	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524235	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524236	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524237	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524238	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	123456	524239	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524235	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524236	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524237	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524238	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S40	1234567	524239	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524235	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524236	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524237	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524238	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	123	524239	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	1234	524230	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	1234	524231	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	1234	524232	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	1234	524233	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	1234	524234	0.7979110561	0.0324545736	1.5633675386
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	A0R0S99	1234	524235	0.7979110561	0.0324545736	1.5633675386
