"imod","pr_seed","voucher","or","lowor","upor","mi_seed","log_or","log_lowor","log_upor","Intercept","Age","SEXF","RHISP","RBLK","ROTH","PT41","PT42","PT43","PT44","PT45","PT46","PT48","PT50","PT50_1","PT51","PT55","PT209","PT211","PT212","PT213","PT214","PT233","PT237"
0,1234567,"RA_GRP_EXP",3.44025,1.60147,7.39026,524232,1.23554,0.47092,2.00016,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.25614,1.02979,4.94291,524230,0.81365,0.02935,1.59795,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.27488,1.01962,5.07552,524231,0.82193,0.01943,1.62443,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.32265,1.08036,4.99342,524232,0.84271,0.07729,1.60812,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",1.83859,0.84994,3.97724,524233,0.60900,-0.16260,1.38059,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.13150,0.89627,5.06910,524234,0.75682,-0.10951,1.62316,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.15806,0.97158,4.79341,524235,0.76921,-0.02883,1.56724,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.06602,0.96502,4.42315,524236,0.72562,-0.03560,1.48685,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.25275,0.96889,5.23782,524237,0.81215,-0.03160,1.65591,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.31464,1.07331,4.99165,524238,0.83926,0.07075,1.60777,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123,"RA_GRP_EXP",2.07905,0.98023,4.40962,524239,0.73191,-0.01996,1.48379,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",3.30915,1.62450,6.74083,524230,1.19669,0.48520,1.90818,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",3.38778,1.63311,7.02772,524231,1.22017,0.49049,1.94986,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",3.41076,1.67654,6.93886,524232,1.22694,0.51673,1.93714,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",2.66621,1.30032,5.46687,524233,0.98066,0.26261,1.69871,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",3.25503,1.49622,7.08133,524234,1.18020,0.40294,1.95746,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",2.47964,1.13750,5.40535,524235,0.90811,0.12884,1.68739,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",2.29595,1.07750,4.89224,524236,0.83115,0.07464,1.58765,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",2.59281,1.14123,5.89074,524237,0.95274,0.13210,1.77338,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",2.55115,1.16710,5.57654,524238,0.93654,0.15452,1.71857,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234,"RA_GRP_EXP",2.18988,1.01857,4.70816,524239,0.78385,0.01840,1.54930,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.19243,0.98792,4.86551,524230,0.78501,-0.01215,1.58217,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.20324,0.98512,4.92757,524231,0.78993,-0.01499,1.59485,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.26938,1.04658,4.92086,524232,0.81951,0.04553,1.59348,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",1.78807,0.82265,3.88647,524233,0.58114,-0.19523,1.35750,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.09786,0.88332,4.98232,524234,0.74092,-0.12406,1.60589,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.08841,0.94609,4.60997,524235,0.73640,-0.05542,1.52822,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.04064,0.95627,4.35464,524236,0.71326,-0.04471,1.47124,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.16771,0.92094,5.10235,524237,0.77367,-0.08236,1.62970,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.22891,1.01251,4.90664,524238,0.80151,0.01243,1.59059,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123,"RA_GRP_EXP",2.01086,0.94138,4.29537,524239,0.69856,-0.06041,1.45754,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,123456,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
10,1234567,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
